StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,EI1,EI2,EI3,EI4,AB1,AB2,AB3,AB4,AS1,AS2,AS3,FN1,FN2,FN3,CS1,CS2,CS3,PC1,PC2,LT1,LT2,LT3,SN1,SN2,SN3,MF1,MF2,MF3,GS1,GS2,GS3,GS4,Q18,Q19_1,Q20,Q21,Q22,Q53,Q52_1,Q23,Q23_8_TEXT,Q24,Random ID,Create New Field or Choose From Dropdown...,text_condition,treatment,treatement
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is the name of the instructor of this course?,Where are lectures held for this course?,Who do you think made this course website?,What is the title of discussion section 8?,How interested are you in taking this course?,How much do you want to take this course?,How likely would you be to take this class during your time in college?,Would you take this class? Why or why not?,How similar do you think you are to the students who would take this course?,How much do you think you belong in this course?,How well do you think you would fit in with the environment of this course?,How well do you think you would fit in with the students of this course?,How hard do you think this course would be for you?,How well do you think you would do in this course?,"Relative to the other students who might take this course, how well do you think you would do if you were to take this course in college?",How fun would you find this course?,How boring would you find this course?,How negative or positive would you expect the environment to be in such a course?,How much do you think the students who take this course are good at computer science?,How much do you think that students who take this course have a natural talent for computer science?,How much do you believe that being good at computer science is something people are born with?,"Relative to others in your grade/year, what is your current level of experience in computer science?",How confident are you in your abilities in computer science?,How interested are you in studying computer science (taking multiple courses) in college?,How interested are you in majoring in computer science in college?,How interested are you in learning computer programming?,How much does the website for this course look like a stereotypical computer science website?,How stereotypical or non-stereotypical of computer scientists do you rate the environment of this course?,How stereotypical or non-stereotypical of computer scientists do you rate the students who would take this course?,How masculine or feminine do you rate the environment of this course?,How masculine or feminine do you rate this course website?,How masculine or feminine do you rate the students who would take this course?,How much do you feel that people of your gender would be valued by this course?,How much do you worry that your ability to perform well in this course would be affected by your gender?,"How much would you worry that if you performed poorly in this course, others would attribute your poor performance to your gender?",How anxious would you be about confirming a negative stereotype about your gender if you took this course?,What is your gender?,What is your age? - Age (years),Please select your current education level.,"If currently attending an academic institution, please select the type of degree program.","If currently attending an institution, please select your year.",How many courses in computer science have you taken?,"On a scale from 1 to 10, how do you estimate your programming experience? - 1: Very Inexperienced, 10: Very Experienced",Please select your race/ethnicity. - Selected Choice,Please select your race/ethnicity. - Other - Text,"Thanks for participating! If you have any other questions or comments, please leave them below:",Random ID,Create New Field or Choose From Dropdown...,text_condition,treatment,treatement
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID69""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID75""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID44""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID66""}","{""ImportId"":""QID21""}","{""ImportId"":""QID9""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID5""}","{""ImportId"":""QID60""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID42""}","{""ImportId"":""QID73""}","{""ImportId"":""QID43""}","{""ImportId"":""QID41""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_8_TEXT""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""text_condition""}","{""ImportId"":""treatment""}","{""ImportId"":""treatement""}"
2020-10-15 19:57:13,2020-10-15 20:00:44,1,,100,210,1,2020-10-15 20:00:45,R_pLsZfSNP6hVj36p,,,,,43.38580322265625,-70.5453033447265625,preview,EN,d,d,d,d,4,4,4,no,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,23,4,1,3,,3,4,,,,,2,true,false
2020-10-15 20:01:42,2020-10-15 20:03:38,1,,100,115,1,2020-10-15 20:03:38,R_2v254y8OgjIAKus,,,,,43.38580322265625,-70.5453033447265625,preview,EN,d,d,d,d,4,4,4,d,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,20,2,1,3,3,5,3,,,,,1,true,false
2020-10-15 22:02:41,2020-10-15 22:03:42,0,74.75.227.223,100,61,1,2020-10-15 22:03:42,R_1jD2CpHEpN4QwQ4,,,,,43.38580322265625,-70.5453033447265625,anonymous,EN,d,d,d,d,4,4,4,d,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,23,1,1,1,4,4,2,,,,,1,true,false
2020-10-16 17:59:28,2020-10-16 18:01:06,1,,100,97,1,2020-10-16 18:01:07,R_RPNCnB3olTlwiLn,,,,,43.38580322265625,-70.5453033447265625,preview,EN,d,d,d,d,5,3,2,d,2,6,7,5,6,2,2,2,5,1,7,6,6,6,3,4,1,6,6,2,6,2,6,1,6,2,6,6,2,22,1,3,2,3,5,5,,,50193,,2,true,false
2020-10-16 18:23:52,2020-10-16 18:25:24,1,,100,91,1,2020-10-16 18:25:25,R_BLLbV7SuYuPImkN,,,,,43.38580322265625,-70.5453033447265625,preview,EN,d,d,d,d,2,6,3,d,6,3,4,5,6,3,2,1,5,1,6,7,5,1,2,5,3,7,2,1,1,7,7,3,6,2,5,3,2,22,3,2,2,3,5,2,,,89510,,2,true,false
2020-10-16 18:25:27,2020-10-16 18:26:47,1,,100,79,1,2020-10-16 18:26:47,R_2UWRk0hvqyc5yaJ,,,,,43.38580322265625,-70.5453033447265625,preview,EN,d,d,d,d,2,6,3,d,5,1,7,2,6,3,5,1,7,1,5,3,5,2,2,6,7,3,5,6,7,5,3,2,1,2,6,3,1,23,1,1,1,3,5,3,,,92712,,2,true,false
2020-10-18 16:57:03,2020-10-18 16:58:22,1,,100,79,1,2020-10-18 16:58:23,R_pgZQkjEMbWt43lv,,,,,43.38580322265625,-70.5453033447265625,preview,EN,d,d,d,d,3,5,3,d,5,3,5,3,3,3,5,3,5,3,5,5,5,3,3,3,3,5,3,3,5,5,3,3,5,5,3,3,2,21,3,3,3,4,4,4,,,11340,,1,true,false
2020-10-20 09:44:30,2020-10-20 09:51:00,1,,100,389,1,2020-10-20 09:51:01,R_24H4Xh9GWrE0iek,,,,,37.4651031494140625,-122.14300537109375,preview,EN,Marty Stepp,Hewlett 200,Marty Stepp,Graphical User Interfaces,4,4,4,test,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,27,6,3,3,2,1,"3,4,7",,,71095,,2,true,false
2020-11-01 20:36:00,2020-11-01 20:37:19,0,74.75.227.223,100,78,1,2020-11-01 20:37:19,R_24pcDMJwvY9iO12,,,,,43.3925933837890625,-70.47280120849609375,anonymous,EN,d,d,d,d,2,5,2,d,5,3,6,5,5,2,3,2,5,2,5,3,3,3,2,5,5,5,3,5,3,4,2,3,3,3,3,3,2,21,2,3,1,0,5,2,,,37628,,2,true,false
2020-11-02 20:13:24,2020-11-02 20:15:37,0,67.180.13.14,100,133,1,2020-11-02 20:15:37,R_9QTtwmV7ZZlaHM5,,,,,37.4651031494140625,-122.14300537109375,anonymous,EN,test,test,test,test,4,4,4,test,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,27,6,3,3,2,1,7,,,60898,,1,true,false
2020-11-08 16:10:59,2020-11-08 16:27:55,0,174.28.224.48,100,1016,1,2020-11-08 16:27:55,R_Rs4u411QPHfeMEx,,,,,35.1410064697265625,-106.71099853515625,anonymous,EN,Marty Stepp,Hewlett 200,Stanford University employees,Graphical User Interfaces,7,7,7,"I would take it. I majored in agricultural engineering, and one of the introductory courses included a very basic amount of programming. I thought the programming was very stimulating, I contemplated changing majors, but I was already acquainted with several of the agricultural engineering professors.",5,4,6,6,7,5,5,7,1,7,7,5,3,2,2,6,6,7,6,6,6,5,5,5,6,1,2,1,1,30,5,5,6,0,1,4,,The layout of the webpage was very basic,39770,,1,true,false
2020-11-08 17:37:36,2020-11-08 17:44:58,0,196.17.64.17,100,442,1,2020-11-08 17:44:59,R_TttdPHqlaDxhBpD,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,"Urion Heath ",very good ther amke the very nice baety,kevin stiit,3,6,5,6,very good,5,6,5,6,7,6,5,4,6,5,7,6,5,6,5,6,7,6,5,7,6,5,6,5,7,6,5,6,2,30,6,3,2,6,7,4,,very nice,16223,,2,true,false
